
> backend@1.0.0 test
> jest --testMatch '**/?(*.)+(test).ts'

GET /itinearies/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea 200
GET /itinearies/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itineary43edc892-7e3b-4e2a-ace0-3c8e54630101 200
GET /itinearies/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itineary598c6991-e53f-4d89-8ee0-0e3bcec93295 200
GET /itinearies/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itinearyd6833a59-b3e8-4fb8-a2a9-937da4e536d5 200
PUT /itinearies/update/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itinearyd6833a59-b3e8-4fb8-a2a9-937da4e536d5 200
GET /itinearies/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itinearyd6833a59-b3e8-4fb8-a2a9-937da4e536d5 200
DELETE /itinearies/remove/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itinearyd6833a59-b3e8-4fb8-a2a9-937da4e536d5 200
GET /itinearies/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea/Itinearyd6833a59-b3e8-4fb8-a2a9-937da4e536d5 403
POST /trips/new 200
POST /splits/new/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
POST /splits/new/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
POST /days/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b 200
POST /days/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b 200
POST /days/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5dba9ec2-b071-4d83-ad78-2f401259d494 200
POST /hotels/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b 200
POST /hotels/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b 200
POST /hotels/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5dba9ec2-b071-4d83-ad78-2f401259d494 200
